Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery,BAT_3024-2,204.82,-91.51,0.0,bottom
BZ1,Buzzer,SPKR_PKMCS0909E4000-R1,218.5625,-94.3,0.0,top
C1,10uF,C_0805_2012Metric,214.37,-105.95,90.0,top
C2,10uF,C_0805_2012Metric,214.36,-102.34,90.0,top
C3,100nF,C_0603_1608Metric,193.7,-87.275,-90.0,top
C4,100nF,C_0603_1608Metric,192.07,-87.26,-90.0,top
C6,10uF,C_0805_2012Metric,195.73,-106.19,90.0,top
C7,10uF,C_0805_2012Metric,195.75,-102.4,90.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4110,204.93,-104.095,0.0,top
R1,10k,R_0603_1608Metric,194.2,-72.405,90.0,top
SW1,SW_SPDT,CUS-12TB_NDC,221.483149,-84.34,90.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,204.99,-76.74,0.0,top
U2,~,Bosch_LGA-14_3x2.5mm_P0.5mm,192.9025,-83.7975,-90.0,top
U3,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,220.27,-104.2775,0.0,top
U5,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,190.24,-104.2775,0.0,top
